team_br,game_year,xbt_pct
Arizona Diamondbacks,2020,0.48
Atlanta Braves,2020,0.46
Baltimore Orioles,2020,0.39
Boston Red Sox,2020,0.42
Chicago Cubs,2020,0.53
Chicago White Sox,2020,0.43
Cincinnati Reds,2020,0.4
Cleveland Indians,2020,0.4
Colorado Rockies,2020,0.52
Detroit Tigers,2020,0.42
Houston Astros,2020,0.4
Kansas City Royals,2020,0.48
Los Angeles Angels,2020,0.41
Los Angeles Dodgers,2020,0.41
Miami Marlins,2020,0.42
Milwaukee Brewers,2020,0.35
Minnesota Twins,2020,0.43
New York Mets,2020,0.33
New York Yankees,2020,0.42
Oakland Athletics,2020,0.48
Philadelphia Phillies,2020,0.45
Pittsburgh Pirates,2020,0.37
San Diego Padres,2020,0.43
Seattle Mariners,2020,0.5
San Francisco Giants,2020,0.34
St. Louis Cardinals,2020,0.45
Tampa Bay Rays,2020,0.51
Texas Rangers,2020,0.43
Toronto Blue Jays,2020,0.35
Washington Nationals,2020,0.34
Arizona Diamondbacks,2021,0.43
Atlanta Braves,2021,0.44
Baltimore Orioles,2021,0.39
Boston Red Sox,2021,0.41
Chicago Cubs,2021,0.4
Chicago White Sox,2021,0.44
Cincinnati Reds,2021,0.35
Cleveland Guardians,2021,0.43
Colorado Rockies,2021,0.45
Detroit Tigers,2021,0.41
Houston Astros,2021,0.36
Kansas City Royals,2021,0.39
Los Angeles Angels,2021,0.41
Los Angeles Dodgers,2021,0.39
Miami Marlins,2021,0.41
Milwaukee Brewers,2021,0.42
Minnesota Twins,2021,0.37
New York Mets,2021,0.37
New York Yankees,2021,0.36
Oakland Athletics,2021,0.46
Philadelphia Phillies,2021,0.41
Pittsburgh Pirates,2021,0.36
San Diego Padres,2021,0.41
Seattle Mariners,2021,0.34
San Francisco Giants,2021,0.38
St. Louis Cardinals,2021,0.43
Tampa Bay Rays,2021,0.47
Texas Rangers,2021,0.41
Toronto Blue Jays,2021,0.41
Washington Nationals,2021,0.36
Arizona Diamondbacks,2022,0.49
Atlanta Braves,2022,0.5
Baltimore Orioles,2022,0.45
Boston Red Sox,2022,0.38
Chicago Cubs,2022,0.44
Chicago White Sox,2022,0.37
Cincinnati Reds,2022,0.39
Cleveland Guardians,2022,0.43
Colorado Rockies,2022,0.43
Detroit Tigers,2022,0.44
Houston Astros,2022,0.37
Kansas City Royals,2022,0.46
Los Angeles Angels,2022,0.41
Los Angeles Dodgers,2022,0.4
Miami Marlins,2022,0.38
Milwaukee Brewers,2022,0.4
Minnesota Twins,2022,0.4
New York Mets,2022,0.38
New York Yankees,2022,0.38
Oakland Athletics,2022,0.44
Philadelphia Phillies,2022,0.39
Pittsburgh Pirates,2022,0.42
San Diego Padres,2022,0.44
Seattle Mariners,2022,0.38
San Francisco Giants,2022,0.36
St. Louis Cardinals,2022,0.46
Tampa Bay Rays,2022,0.47
Texas Rangers,2022,0.44
Toronto Blue Jays,2022,0.41
Washington Nationals,2022,0.37
Arizona Diamondbacks,2023,0.46
Atlanta Braves,2023,0.51
Baltimore Orioles,2023,0.49
Boston Red Sox,2023,0.39
Chicago Cubs,2023,0.44
Chicago White Sox,2023,0.42
Cincinnati Reds,2023,0.47
Cleveland Guardians,2023,0.43
Colorado Rockies,2023,0.4
Detroit Tigers,2023,0.45
Houston Astros,2023,0.37
Kansas City Royals,2023,0.44
Los Angeles Angels,2023,0.38
Los Angeles Dodgers,2023,0.41
Miami Marlins,2023,0.38
Milwaukee Brewers,2023,0.42
Minnesota Twins,2023,0.43
New York Mets,2023,0.45
New York Yankees,2023,0.39
Oakland Athletics,2023,0.4
Philadelphia Phillies,2023,0.43
Pittsburgh Pirates,2023,0.43
San Diego Padres,2023,0.44
Seattle Mariners,2023,0.4
San Francisco Giants,2023,0.43
St. Louis Cardinals,2023,0.4
Tampa Bay Rays,2023,0.46
Texas Rangers,2023,0.39
Toronto Blue Jays,2023,0.41
Washington Nationals,2023,0.4
Arizona Diamondbacks,2024,0.46
Atlanta Braves,2024,0.4
Baltimore Orioles,2024,0.43
Boston Red Sox,2024,0.44
Chicago Cubs,2024,0.43
Chicago White Sox,2024,0.41
Cincinnati Reds,2024,0.47
Cleveland Guardians,2024,0.44
Colorado Rockies,2024,0.42
Detroit Tigers,2024,0.49
Houston Astros,2024,0.36
Kansas City Royals,2024,0.48
Los Angeles Angels,2024,0.4
Los Angeles Dodgers,2024,0.49
Miami Marlins,2024,0.38
Milwaukee Brewers,2024,0.43
Minnesota Twins,2024,0.42
New York Mets,2024,0.38
New York Yankees,2024,0.36
Oakland Athletics,2024,0.39
Philadelphia Phillies,2024,0.41
Pittsburgh Pirates,2024,0.45
San Diego Padres,2024,0.43
Seattle Mariners,2024,0.4
San Francisco Giants,2024,0.39
St. Louis Cardinals,2024,0.44
Tampa Bay Rays,2024,0.43
Texas Rangers,2024,0.43
Toronto Blue Jays,2024,0.37
Washington Nationals,2024,0.45
