"entity_name","entity_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"Realmuto, J.T.","592663",143,"35","86.4","0.59","22","1.85","1.83","1.87","1","1.44","1.44",
"Davis, Henry","680779",134,"26","87.7","0.63","9","1.86","1.84","1.89","0",,,
"Durán, Rodolfo","660710",135,"28","89.7","0.63","10","1.87","1.85","1.89","0",,,
"Moreno, Gabriel","672515",109,"26","81.3","0.61","10","1.88","1.86","1.89","0",,,
"Langeliers, Shea","669127",133,"28","87.7","0.63","25","1.87","1.86","1.87","2","1.4","1.35","1.45"
"Haase, Eric","606992",137,"33","83.1","0.6","7","1.86","1.86","1.86","0",,,
"Fermin, Freddy","666023",135,"31","84.7","0.61","23","1.87","1.86","1.88","2","1.45","1.45",
"Jackson, Alex","656577",142,"30","83.3","0.6","6","1.9","1.87","1.9","1","1.38",,"1.38"
"Pagés, Pedro","686780",138,"27","84.4","0.6","31","1.9","1.87","1.92","1","1.4",,"1.4"
"Torrens, Luis","620443",121,"30","83.4","0.59","13","1.86","1.87","1.85","2","1.39","1.38","1.4"
"Mack, Joe","691788",146,"23","84.1","0.62","13","1.89","1.87","1.9","1","1.38",,"1.38"
"Fortes, Nick","663743",139,"29","81.3","0.65","43","1.94","1.87","1.95","2","1.47","1.4","1.55"
"Stubbs, Garrett","596117",143,"33","84.5","0.66","5","1.88","1.88","1.88","0",,,
"Rushing, Dalton","687221",119,"25","82.3","0.61","13","1.9","1.88","1.91","0",,,
"Dingler, Dillon","693307",116,"27","88.8","0.65","18","1.87","1.89","1.87","0",,,
"Valenzuela, Brandon","678218",141,"25","84.9","0.65","29","1.9","1.89","1.91","1","1.39",,"1.39"
"Bailey, Patrick","672275",114,"27","84.2","0.59","25","1.86","1.89","1.84","1","1.33",,"1.33"
"Pereda, Jhonny","640902",136,"30","84.4","0.69","9","2","1.89","2.06","0",,,
"Escarra, J.C.","641555",147,"31","81.9","0.61","10","1.9","1.89","1.91","1","1.61",,"1.61"
"Ramírez, Agustín","682663",146,"24","82.7","0.73","8","1.98","1.9","2.01","0",,,
"Hedges, Austin","595978",114,"33","82.6","0.62","10","1.93","1.9","1.93","0",,,
"Jeffers, Ryan","680777",142,"29","82","0.66","12","1.98","1.9","1.99","1","1.51","1.51",
"Contreras, William","661388",158,"28","82.3","0.63","18","1.93","1.91","1.95","1","1.56","1.56",
"Rutschman, Adley","668939",110,"28","85.6","0.68","24","1.96","1.91","2","2","1.48",,"1.48"
"Susac, Daniel","691740",137,"25","85.5","0.63","9","1.9","1.91","1.89","0",,,
"Alvarez, Francisco","682626",121,"24","85.5","0.68","5","1.96","1.91","1.98","1","1.37",,"1.37"
"Basallo, Samuel","694212",110,"21","87.2","0.73","15","1.93","1.91","1.94","0",,,
"Marchán, Rafael","665561",143,"27","83.1","0.61","9","1.9","1.91","1.88","0",,,
"Jensen, Carter","695600",118,"22","83.7","0.64","9","1.91","1.92","1.9","1","1.42","1.42",
"Hicks, Liam","689414",146,"27","82.2","0.68","25","1.98","1.92","1.99","3","1.54","1.51","1.56"
"Bart, Joey","663698",134,"29","84.1","0.65","11","1.92","1.92","1.93","2","1.51",,"1.51"
"Baldwin, Drake","686948",144,"25","78.8","0.6","15","1.93","1.93","1.93","0",,,
"Smith, Will","669257",119,"31","82.2","0.67","17","1.96","1.93","1.97","1","1.58",,"1.58"
"Wynns, Austin","642851",144,"35","77.3","0.57","10","1.95","1.93","1.96","1","1.56",,"1.56"
"O'Hoppe, Logan","681351",108,"26","84.4","0.76","21","1.98","1.93","2.01","0",,,
"Amaya, Miguel","665804",112,"27","83.4","0.66","14","1.95","1.93","1.96","0",,,
"Quero, Edgar","700337",145,"23","81.4","0.61","12","1.95","1.94","1.96","1","1.64",,"1.64"
"Kelly, Carson","608348",112,"31","84.7","0.65","28","1.95","1.94","1.96","2","1.43","1.49","1.38"
"Heineman, Tyler","623168",141,"35","77.5","0.56","18","1.94","1.94","1.94","0",,,
"Millas, Drew","686452",120,"28","84.8","0.69","12","1.94","1.94","1.94","2","1.48","1.46","1.51"
"León, Sandy","506702",144,"37","76.6","0.62","10","2.01","1.95","2.03","1","1.4","1.4",
"Feduccia, Hunter","676439",139,"29","83.2","0.69","12","1.97","1.95","1.98","0",,,
"Rogers, Jake","668670",116,"31","79.5","0.64","10","1.96","1.95","1.97","0",,,
"Wells, Austin","669224",147,"26","79.9","0.62","17","1.98","1.96","1.98","0",,,
"Perez, Salvador","521692",118,"36","80.4","0.68","10","1.97","1.96","1.98","1","1.55","1.55",
"Romo, Drew","691011",145,"24","83.5","0.65","16","1.98","1.96","1.98","0",,,
"Kirk, Alejandro","672386",141,"27","79.8","0.61","5","1.97","1.97","1.97","0",,,
"McCann, James","543510",109,"36","80.1","0.64","11","1.99","1.97","1.99","1","1.58",,"1.58"
"Narváez, Carlos","665966",111,"27","76.6","0.64","11","1.99","1.98","1.99","0",,,
"Heim, Jonah","641680",133,"31","83.6","0.7","15","1.98","1.98","1.98","1","1.55",,"1.55"
"Stephenson, Tyler","663886",113,"29","82.5","0.69","27","1.99","1.98","1.99","2","1.6",,"1.6"
"Wong, Connor","657136",111,"30","82.8","0.68","9","1.96","1.99","1.95","0",,,
"Goodman, Hunter","696100",115,"26","84.3","0.73","18","1.97","1.99","1.96","2","1.55",,"1.55"
"Jansen, Danny","643376",140,"31","77.9","0.68","20","2.01","1.99","2.02","0",,,
"d'Arnaud, Travis","518595",108,"37","82.1","0.64","7","1.94","2","1.92","0",,,
"Higgins, P.J.","664731",113,"33","79.8","0.65","8","2.02","2","2.02","0",,,
"Campusano, Luis","669134",135,"27","82.6","0.67","7","1.97","2","1.96","1","1.45",,"1.45"
"Ruiz, Keibert","660688",120,"27","78.6","0.66","25","2.03","2","2.05","1","1.53",,"1.53"
"Rivero, Sebastián","665861",108,"27","83.5","0.65","8","1.95","2.02","1.94","0",,,
"Sullivan, Brett","664954",115,"32","82.7","0.7","18","1.99","2.02","1.99","0",,,
"Raleigh, Cal","663728",136,"29","81.9","0.68","13","2.01","2.03","2","0",,,
"Garver, Mitch","641598",136,"35","77.4","0.74","9","2.06","2.04","2.07","1","1.6",,"1.6"
"Caratini, Victor","605170",142,"32","79.9","0.68","24","2.06","2.05","2.06","0",,,
"Higashioka, Kyle","543309",140,"36","77","0.67","20","2.02","2.05","2.01","0",,,
"Gasper, Mickey","681508",111,"30","78.8","0.64","5","1.96","2.09","1.93","0",,,
"Vázquez, Christian","543877",117,"35","77.8","0.61","21","2.02","2.1","1.97","3","1.43","1.38","1.52"
"Naylor, Bo","666310",114,"26","82.4","0.65","10","1.96","2.1","1.93","2","1.49",,"1.49"
"Diaz, Yainer","673237",117,"27","85.8","0.71","10","2","2.11","1.99","0",,,
"McGuire, Reese","624512",145,"31","80.6","0.53","10","1.96",,"1.96","0",,,
"Herrera, Iván","671056",138,"26","78.4","0.64","11","2",,"2","0",,,
"Rodriguez, Jesus","683679",137,"24","84","0.67","6","1.94",,"1.94","0",,,
